,Symbol,Name,Sector,Clearing Type,Shares,Free Float,Listed In
185,HCL,Hallmark Company,TECHNOLOGY & COMMUNICATION,NC,"500,000","50,000",ALLSHR
186,HGFA,HBL Growth Fund - (A),CLOSE - END MUTUAL FUND,NC,"283,500,000","264,888,209",ALLSHRKSE100
187,HICL,Habib Insurance Co. Ltd.,INSURANCE,NC,"123,874,755","68,131,115",ALLSHR
188,HIFA,HBL Investment Fund - (A),CLOSE - END MUTUAL FUND,NC,"284,125,000","227,300,000",ALLSHR
189,HINO,Hinopak Motors Ltd,AUTOMOBILE ASSEMBLER,NC,"24,801,120","2,547,366",ALLSHRKMIALLSHR
190,HINOON,Highnoon Laboratories Ltd,PHARMACEUTICALS,NC,"52,983,368","23,842,513",ALLSHRKMIALLSHRKSE100
191,HMB,Habib Metropolitan Bank Ltd.,COMMERCIAL BANKS,NC,"1,047,831,480","471,524,166",ALLSHRBKTIKSE100PSXDIV20
192,HRPL,Habib Rice Prud.,SUGAR & ALLIED INDUSTRIES,NC,"40,000,000","8,000,000",ALLSHRKMIALLSHR
193,HTL,Hi-Tech Lubricants Ltd.,OIL & GAS MARKETING COMPANIES,NC,"139,204,800","34,801,200",ALLSHRKMIALLSHR
194,HUBC,Hub Power Company Ltd.,POWER GENERATION & DISTRIBUTION,NC,"1,297,154,400","972,865,790",ALLSHRKMI30KMIALLSHRKSE100KSE30MZNPINBPPGINITPGIPSXDIV20UPP9
195,HUMNL,Hum Network Ltd.,TECHNOLOGY & COMMUNICATION,NC,"1,134,000,000","567,000,000",ALLSHR
196,HUSI,Husein Industries,TEXTILE COMPOSITE,NC,"10,625,852","2,656,463",ALLSHRKMIALLSHR
197,IBFL,Ibrahim Fibres Ltd.,SYNTHETIC & RAYON,NC,"310,506,995","15,525,350",ALLSHRKMIALLSHRKSE100
198,IBLHL,IBL HealthCare Ltd.,PHARMACEUTICALS,NC,"71,395,639","17,848,910",ALLSHRKMIALLSHR
199,ICIBL,Invest Capital Investment Bank,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"284,866,896","156,676,793",ALLSHR
200,ICL,Ittehad Chemicals Ltd.,CHEMICAL,NC,"99,999,999","35,000,000",ALLSHRKMIALLSHR
201,IDRT,Idrees Textile Mills Ltd.,TEXTILE SPINNING,NC,"19,852,800","1,985,280",ALLSHR
202,IDSM,Ideal Spinning Mills Ltd.,TEXTILE SPINNING,NC,"9,920,000","1,488,000",ALLSHR
203,IDYM,Indus Dyeing & Mfg Co. Ltd,TEXTILE SPINNING,NC,"54,221,193","8,133,179",ALLSHR
204,IGIHL,IGI Holdings Ltd.,INSURANCE,NC,"142,630,550","35,657,638",ALLSHR
205,IGIL,IGI Life Insurance Ltd,INSURANCE,NC,"170,567,200","34,113,440",ALLSHR
206,ILP,Interloop Limited.,TEXTILE COMPOSITE,NC,"1,401,446,864","280,289,373",ACIALLSHRJSMFIKMIALLSHRKSE100
207,IMAGE,Image Pakistan Ltd.,SYNTHETIC & RAYON,NC,"131,639,801","92,147,860",ALLSHRKMIALLSHR
208,IML,Imperial  Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"99,020,000","24,755,000",ALLSHR
209,INDU,Indus Motor Company Ltd.,AUTOMOBILE ASSEMBLER,NC,"78,600,000","13,786,066",ALLSHRKSE100
210,INIL,International Industries Ltd.,ENGINEERING,NC,"131,881,860","65,940,940",ACIALLSHRKMIALLSHRKSE100
211,INKL,International Knitwear Ltd,TEXTILE COMPOSITE,NC,"9,675,000","3,870,000",ALLSHRKMIALLSHR
212,ISIL,Ismail Industries Ltd.,FOOD & PERSONAL CARE PRODUCTS,NC,"66,356,940","3,317,847",ALLSHR
213,ISL,International Steels Ltd.,ENGINEERING,NC,"435,000,000","152,250,000",ACIALLSHRKMIALLSHRKSE100PSXDIV20
214,ITTEFAQ,Ittefaq Iron Industries,ENGINEERING,NC,"144,343,364","93,823,187",ALLSHRKMIALLSHR
215,JATM,J.A.Textile Mills Ltd,TEXTILE SPINNING,NC,"12,601,200","1,890,174",ALLSHR
216,JDMT,Janana De  Malucho Textile,TEXTILE SPINNING,NC,"6,915,822","2,074,747",ALLSHRKMIALLSHR
217,JDWS,JDW Sugar Mills Ltd.XD,SUGAR & ALLIED INDUSTRIES,NC,"57,776,661","5,777,666",ALLSHRKSE100
218,JGICL,Jubilee General Insurance Co.,INSURANCE,NC,"198,491,379","49,622,810",ALLSHR
219,JKSM,J.K.Spinning Mills Ltd.,TEXTILE SPINNING,NC,"102,317,502","5,115,875",ALLSHR
220,JLICL,Jubilee Life Insurance Co.,INSURANCE,NC,"100,353,310","20,070,662",ALLSHR
221,JOPP,Johnson & Phillips (Pakistan) Ltd,CABLE & ELECTRICAL GOODS,NC,"5,450,000","545,000",ALLSHRKMIALLSHR
222,JSBL,JS Bank Ltd,COMMERCIAL BANKS,NC,"1,297,464,262","324,366,066",ALLSHR
223,JSBLR1,JS Bank Ltd (R),COMMERCIAL BANKS,NC,"220,568,925",0,ALLSHR
224,JSCL,Jahangir Siddiqui & Co. Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"915,942,388","228,985,597",ALLSHR
225,JSCLPSA,Jahangir Siddiqui Preference Share.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"183,188,477","36,637,695",ALLSHR
226,JSGCL,JS Global Capital Ltd.,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"27,477,297","1,373,865",ALLSHR
227,JSIL,JS Investments Ltd,INV. BANKS / INV. COS. / SECURITIES COS.,NC,"61,774,256","12,354,851",ALLSHR
228,JSMFETF,JS Momentum Factor ETF,EXCHANGE TRADED FUNDS,NC,"8,300,000","3,080,000",
229,JSML,Jauharabad Sugar Mills Ltd.,SUGAR & ALLIED INDUSTRIES,NC,"34,128,454","13,651,381",ALLSHRKMIALLSHR
230,JVDC,Javedan Corporation Ltd.,PROPERTY,NC,"380,860,447","114,258,134",ALLSHRKMIALLSHRKSE100
231,JVDCPS,Javedan Corp Preference,CEMENT,NC,"50,500","41,500",ALLSHR
